station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KOKX,2023-08-10 00:00:00,6,17.5,27737.0,M,M,70.0,25,118.0,25.0
KOKX,2023-08-10 00:00:00,6,17.0,M,M,M,100.0,27,118.0,25.0
KOKX,2023-08-10 00:00:00,6,16.7,28042.0,M,M,95.0,26,118.0,25.0
KOKX,2023-08-10 00:00:00,6,16.1,M,M,M,100.0,19,119.0,24.0
KOKX,2023-08-10 00:00:00,6,15.3,M,M,M,115.0,31,119.0,24.0
KOKX,2023-08-10 00:00:00,6,15.2,28651.0,M,M,100.0,19,119.0,24.0
KOKX,2023-08-10 00:00:00,6,13.9,M,M,M,125.0,24,119.0,23.0
KOKX,2023-08-10 00:00:00,6,13.4,M,M,M,100.0,19,119.0,23.0
KOKX,2023-08-10 00:00:00,6,13.2,M,M,M,115.0,18,119.0,23.0
KOKX,2023-08-10 00:00:00,5,13.1,29667.0,-42.3,-76.3,M,M,119.0,23.0
KOKX,2023-08-10 00:00:00,6,12.7,M,M,M,70.0,22,119.0,22.0
KOKX,2023-08-10 00:00:00,5,12.5,29984.0,-41.7,-75.7,M,M,120.0,22.0
KOKX,2023-08-10 00:00:00,6,12.2,M,M,M,75.0,26,120.0,22.0
KOKX,2023-08-10 00:00:00,6,11.6,30480.0,M,M,75.0,26,121.0,22.0
KOKX,2023-08-10 00:00:00,6,11.5,M,M,M,100.0,16,121.0,22.0
KOKX,2023-08-10 00:00:00,6,10.9,M,M,M,50.0,19,122.0,22.0
KOKX,2023-08-10 00:00:00,6,10.5,M,M,M,65.0,30,123.0,21.0
KOKX,2023-08-10 00:00:00,6,10.1,M,M,M,70.0,24,123.0,21.0
KOKX,2023-08-10 00:00:00,4,10.0,31495.0,-41.9,-75.9,75.0,26,124.0,21.0
KOKX,2023-08-10 00:00:00,6,9.7,M,M,M,75.0,36,124.0,21.0
KOKX,2023-08-10 00:00:00,6,9.4,M,M,M,70.0,28,125.0,21.0
KOKX,2023-08-10 00:00:00,6,8.9,M,M,M,85.0,33,126.0,20.0
KOKX,2023-08-10 00:00:00,6,8.6,32512.0,M,M,70.0,28,127.0,20.0
KOKX,2023-08-10 00:00:00,5,8.5,32602.0,-38.9,-73.9,M,M,127.0,20.0
KOKX,2023-08-10 00:00:00,5,8.3,32766.0,-38.7,-73.7,M,M,128.0,20.0
KOKX,2023-08-10 00:00:00,5,8.1,32933.0,-38.9,-73.9,80.0,35,129.0,20.0
